candidate_id,family,symbol,direction,entry_time,label,net_return_pct,net_r,bars_to_outcome
ET27-00320,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-03-09T13:45:00Z,TP_BEFORE_SL,2.9841753303428007,1.8511247215736977,36
ET27-00321,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-03-09T13:45:00Z,TP_BEFORE_SL,1.1571456406894132,1.2423318016993943,7
ET27-00322,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-03-09T14:00:00Z,SL_BEFORE_TP,-0.9972689370143324,-1.3169283569800747,2
ET27-00323,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-03-09T16:45:00Z,TP_BEFORE_SL,2.14014403598281,1.348748649427287,24
ET27-00324,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-03-09T16:45:00Z,SL_BEFORE_TP,-3.5751111968803864,-1.0719616186184413,66
ET27-00325,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-03-09T16:45:00Z,NEITHER_EXPIRED,5.372005627637949,1.620817257614212,96
ET27-00326,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-03-09T21:45:00Z,TP_BEFORE_SL,0.7874697895243123,1.1496247347898578,3
ET27-00327,TRAP_REVERSAL,SOLUSDT,LONG,2025-03-10T13:30:00Z,SL_BEFORE_TP,-1.0862405492569887,-1.2836073031606952,1
ET27-00328,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-03-10T14:00:00Z,TP_BEFORE_SL,2.4792072167119494,1.3676084714002377,19
ET27-00329,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-03-10T14:00:00Z,TP_BEFORE_SL,3.126289896930974,1.3930573387846954,12
ET27-00330,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-03-10T16:45:00Z,SL_BEFORE_TP,-3.0007288307434656,-1.0869335652699248,64
ET27-00331,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-03-10T17:00:00Z,SL_BEFORE_TP,-4.958876291747141,-1.0508595659563564,49
ET27-00332,MOMENTUM_BREAKDOWN_PULLBACK,ETHUSDT,SHORT,2025-03-10T17:30:00Z,TP_BEFORE_SL,3.389651664318385,1.4008169286493763,5
ET27-00333,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-03-10T17:30:00Z,SL_BEFORE_TP,-2.4084440955357254,-1.1106784355170136,8
