candidate_id,family,symbol,direction,confirmation_time,entry_price,stop_price,target_price,target_kind,stop_distance_atr,target_distance_atr,planned_rr,volume_ratio_20,evidence,label,net_return_pct,net_r
ET27-00306,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-03-07T00:15:00Z,2127.71,2229.5067549323608,1924.1164901352786,FIXED_2R_STRONG_MOMENTUM,4.809094967777748,9.618189935555495,2.0,10.409316271514781,"{""pivot_highs"": [[6184, 2229.4], [6187, 2222.99]], ""pivot_lows"": [[6182, 2197.9], [6186, 2195.62]], ""broken_support"": 2195.62}",SL_BEFORE_TP,-5.024334093102947,-1.0501637208709946
ET27-00307,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-03-07T00:30:00Z,85918.13,87367.12116417213,83744.64325374181,FIXED_1_5R,1.564768880852452,2.3471533212786784,1.5,2.821026318551675,"{""breakdown_time"": ""2025-03-07T00:15:00Z"", ""broken_support"": 88674.81, ""pullback_bars"": 1, ""breakdown_volume_ratio"": 8.495502304885832}",SL_BEFORE_TP,-1.9264789354378713,-1.1423083294768146
ET27-00308,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-03-07T00:30:00Z,136.29,138.46997553510639,133.0200366973404,FIXED_1_5R,1.3081453392466318,1.9622180088699477,1.5,4.104260151140693,"{""breakdown_time"": ""2025-03-07T00:15:00Z"", ""broken_support"": 143.19, ""pullback_bars"": 1, ""breakdown_volume_ratio"": 9.48288823894031}",SL_BEFORE_TP,-1.8395124624744248,-1.1500457205745824
ET27-00309,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-03-07T00:30:00Z,136.29,145.73664627925532,117.39670744148933,FIXED_2R_STRONG_MOMENTUM,5.668681185963992,11.337362371927984,2.0,4.104260151140693,"{""pivot_highs"": [[6184, 145.92], [6192, 145.57]], ""pivot_lows"": [[6182, 143.25], [6186, 143.19]], ""broken_support"": 143.19}",SL_BEFORE_TP,-7.171283497876098,-1.0346256216577407
ET27-00310,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-03-07T21:00:00Z,86343.04,87484.79146626045,84630.41280060931,FIXED_1_5R,1.2270139425869442,1.840520913880424,1.5000000000000064,2.583292176289368,"{""breakdown_time"": ""2025-03-07T20:45:00Z"", ""broken_support"": 87315.94, ""pullback_bars"": 1, ""breakdown_volume_ratio"": 2.142745903527555}",NEITHER_EXPIRED,-0.25434973797540533,-0.19234772407982362
ET27-00311,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-03-07T23:00:00Z,138.01,143.69788559031602,129.47817161452593,FIXED_1_5R,2.610491855870894,3.9157377838063474,1.5000000000000024,1.2611110628127549,"{""pivot_highs"": [[6268, 150.88], [6275, 147.62]], ""pivot_lows"": [[6276, 141.74], [6281, 140.56]], ""broken_support"": 140.56}",NEITHER_EXPIRED,0.028096514745311607,0.0068172960556771925
ET27-00312,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-03-08T08:00:00Z,86053.79,86363.51982846194,85589.19525730707,FIXED_1_5R,0.9975241687810663,1.4962862531715995,1.5,1.0887486038642598,"{""breakdown_time"": ""2025-03-08T07:45:00Z"", ""broken_support"": 86279.31, ""pullback_bars"": 1, ""breakdown_volume_ratio"": 1.2633621428180095}",SL_BEFORE_TP,-0.5999258422690581,-1.6668040240928046
ET27-00313,MOMENTUM_BREAKDOWN_PULLBACK,ETHUSDT,SHORT,2025-03-08T08:45:00Z,2128.52,2136.9274839589475,2115.9087740615787,FIXED_1_5R,0.9724469148392466,1.4586703722588699,1.5,0.934050136272425,"{""breakdown_time"": ""2025-03-08T08:00:00Z"", ""broken_support"": 2133.16, ""pullback_bars"": 3, ""breakdown_volume_ratio"": 1.2925616723084596}",SL_BEFORE_TP,-0.6349920113011633,-1.6076072252940095
ET27-00314,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-03-08T08:45:00Z,137.83,139.31183853226455,135.6072422016032,FIXED_1_5R,1.810685616250371,2.7160284243755566,1.5,1.020150437468586,"{""pivot_highs"": [[6312, 140.0], [6317, 139.88]], ""pivot_lows"": [[6310, 138.68], [6315, 138.63]], ""broken_support"": 138.63}",TP_BEFORE_SL,1.3726806924448949,1.276769200693893
ET27-00315,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-03-08T09:45:00Z,85943.28,86478.27086910848,85140.79369633726,FIXED_1_5R,1.8930446443620477,2.839566966543097,1.5000000000000135,1.5526273020824,"{""pivot_highs"": [[6313, 86662.0], [6325, 86450.01]], ""pivot_lows"": [[6315, 86279.31], [6321, 86040.01]], ""broken_support"": 86040.01}",SL_BEFORE_TP,-0.8624929617632533,-1.3855465278196621
ET27-00316,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-03-08T17:00:00Z,85792.01,86279.84413283369,85060.25880074945,FIXED_1_5R,1.8194770389811228,2.729215558471684,1.5,1.649906962521574,"{""breakdown_time"": ""2025-03-08T16:15:00Z"", ""broken_support"": 86200.0, ""pullback_bars"": 3, ""breakdown_volume_ratio"": 1.9820614197853217}",SL_BEFORE_TP,-0.808624202689385,-1.4220713766049484
ET27-00317,TRAP_REVERSAL,SOLUSDT,LONG,2025-03-09T10:00:00Z,137.7,137.30743663105096,138.6875,FALSE_BREAKDOWN_TO_MIDLINE,0.5741280336805171,1.4442290802052242,2.5155174377164955,1.5847633651473452,"{""lower"": 137.685, ""upper"": 139.69, ""midline"": 138.6875, ""width_atr"": 2.9323334742394276, ""high_touches"": 2, ""low_touches"": 2, ""adx14"": 17.34136602909794}",SL_BEFORE_TP,-0.5250859614735126,-1.841851344624342
ET27-00318,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-03-09T10:15:00Z,85260.0,85910.87114917628,83958.25770164744,FIXED_2R_STRONG_MOMENTUM,3.3844631083162153,6.768926216632431,2.0,2.484734669097847,"{""pivot_highs"": [[6405, 86158.83], [6414, 86156.17]], ""pivot_lows"": [[6412, 85846.91], [6420, 85669.26]], ""broken_support"": 85669.26}",TP_BEFORE_SL,1.2867913421916035,1.685615193945891
ET27-00319,MOMENTUM_BREAKDOWN_PULLBACK,ETHUSDT,SHORT,2025-03-09T10:15:00Z,2149.39,2171.3289623627625,2116.4815564558558,FIXED_1_5R,2.5585731595318193,3.837859739297756,1.5000000000000104,2.4113026925999455,"{""breakdown_time"": ""2025-03-09T09:45:00Z"", ""broken_support"": 2172.48, ""pullback_bars"": 2, ""breakdown_volume_ratio"": 2.75256228713212}",TP_BEFORE_SL,1.2910596747981578,1.264868733775876
ET27-00320,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-03-09T13:45:00Z,83489.95,84835.88118560777,80798.08762878446,FIXED_2R_STRONG_MOMENTUM,4.3095744186957585,8.619148837391517,2.0,3.207562662349478,"{""pivot_highs"": [[6414, 86156.17], [6431, 85098.38]], ""pivot_lows"": [[6429, 84625.01], [6432, 84240.36]], ""broken_support"": 84240.36}",TP_BEFORE_SL,2.9841753303428007,1.8511247215736977
